name;value;country;series;date
Drago;2.00;Austria;1;2016-05-27 10:27:19
Drago;2.00;Belgium;1;2016-09-09 12:26:45
Drago;2.00;Belgium;2;2016-05-27 10:26:49
Drago;2.00;Cyprus;1;2017-12-08 12:00:58
Drago;2.00;Finland;1;2016-10-17 15:05:20
Drago;2.00;Finland;2;2024-02-05 11:21:44
Drago;2.00;France;1;2016-09-09 12:26:01
Drago;2.00;Germany;1;2016-05-27 10:27:02
Drago;2.00;Greece;1;2016-09-09 12:25:03
Drago;2.00;Ireland;1;2016-06-16 17:52:10
Drago;2.00;Italy;1;2016-05-27 10:26:27
Drago;2.00;Luxembourg;1;2016-12-14 18:00:26
Drago;2.00;Malta;1;2016-08-23 09:38:22
Drago;2.00;Netherlands;1;2016-06-16 17:53:18
Drago;2.00;Portugal;1;2016-10-25 13:48:09
Drago;2.00;Slovakia;1;2017-04-03 14:25:44
Drago;2.00;Slovenia;1;2016-09-09 12:26:15
Drago;2.00;Spain;1;2016-05-27 10:27:44
Drago;2.00;Estonia;1;2020-01-07 08:16:20
Drago;2.00c;Greece;2004;2016-09-09 12:24:35
Drago;2.00c;Italy;2004;2019-05-15 09:20:01
Drago;2.00c;Germany;2006;2016-09-09 12:25:23
Drago;2.00c;Italy;2006;2016-05-17 08:21:27
Drago;2.00c;Germany;2007;2016-10-25 13:48:39
Drago;2.00c;France;2007tor;2019-09-10 08:56:55
Drago;2.00c;Germany;2007tor;2016-10-17 15:05:54
Drago;2.00c;Greece;2007tor;2017-07-11 14:58:08
Drago;2.00c;France;2008;2016-06-09 09:34:08
Drago;2.00c;Germany;2008;2017-04-03 14:26:11
Drago;2.00c;Germany;2009;2017-04-03 14:26:43
Drago;2.00c;Austria;2009emu;2024-02-05 11:19:28
Drago;2.00c;Belgium;2009emu;2019-05-25 21:00:27
Drago;2.00c;Germany;2009emu;2016-09-14 18:56:21
Drago;2.00c;Belgium;2010;2016-09-09 12:25:42
Drago;2.00c;France;2010;2016-05-17 08:21:59
Drago;2.00c;Germany;2010;2019-05-15 09:20:36
Drago;2.00c;Germany;2012;2016-05-17 08:20:43
Drago;2.00c;Austria;2012tye;2016-06-09 09:33:37
Drago;2.00c;France;2012tye;2024-02-05 11:18:52
Drago;2.00c;Germany;2012tye;2016-05-17 08:20:10
Drago;2.00c;Italy;2012tye;2018-03-16 11:53:35
Drago;2.00c;Italy;2013;2020-01-07 08:16:51
Drago;2.00c;Netherlands;2013;2018-09-25 09:58:30
Drago;2.00c;Monaco;2013;2016-05-17 08:19:32
Drago;2.00c;Netherlands;2013a;2017-12-11 10:48:26
Drago;2.00c;Germany;2014;2017-04-03 14:26:26
Drago;2.00c;Germany;2015;2016-05-17 08:20:55
Drago;2.00c;Germany;2015a;2016-10-17 15:06:23
Drago;2.00c;Germany;2015euf;2019-05-15 09:21:44
Drago;2.00c;Austria;2016;2024-02-05 11:23:12
Drago;2.00c;Germany;2016;2018-04-27 10:12:20
Drago;2.00c;Greece;2017;2022-01-06 14:56:34
Drago;2.00c;Italy;2018;2024-02-05 11:22:42
Drago;2.00c;Slovenia;2018;2019-05-23 13:58:50
Jonko;0.01;Austria;1;2010-10-21 00:00:01
Jonko;0.02;Austria;1;2010-10-21 00:00:01
Jonko;0.05;Austria;1;2010-11-22 10:52:05
Jonko;0.10;Austria;1;2010-10-21 00:00:01
Jonko;0.20;Austria;1;2011-09-02 10:37:13
Jonko;0.50;Austria;1;2010-10-29 10:09:03
Jonko;1.00;Austria;1;2010-10-21 00:00:01
Jonko;2.00;Austria;1;2010-10-25 00:06:08
Jonko;0.01;Belgium;1;2011-03-28 14:18:36
Jonko;0.02;Belgium;1;2011-03-28 14:18:25
Jonko;0.05;Belgium;1;2011-03-28 10:25:06
Jonko;0.10;Belgium;1;2011-03-28 14:23:58
Jonko;0.20;Belgium;1;2010-10-21 00:00:01
Jonko;0.50;Belgium;1;2010-12-20 10:49:49
Jonko;1.00;Belgium;1;2010-10-21 00:00:01
Jonko;2.00;Belgium;1;2010-10-25 23:50:14
Jonko;0.01;Belgium;2;2011-03-28 14:18:40
Jonko;0.02;Belgium;2;2011-04-18 17:40:40
Jonko;0.05;Belgium;2;2011-03-28 14:18:11
Jonko;0.10;Belgium;2;2011-03-28 14:19:39
Jonko;0.20;Belgium;2;2011-03-28 14:19:30
Jonko;0.50;Belgium;2;2011-03-28 14:19:13
Jonko;1.00;Belgium;2;2012-03-24 18:38:25
Jonko;2.00;Belgium;2;2011-01-19 21:16:32
Jonko;0.01;Cyprus;1;2011-04-18 17:38:03
Jonko;0.02;Cyprus;1;2011-04-18 17:38:07
Jonko;0.05;Cyprus;1;2011-04-18 17:38:12
Jonko;0.10;Cyprus;1;2011-04-18 17:39:01
Jonko;0.20;Cyprus;1;2011-04-18 17:38:56
Jonko;0.50;Cyprus;1;2011-04-18 17:38:52
Jonko;1.00;Cyprus;1;2011-04-18 17:38:25
Jonko;2.00;Cyprus;1;2011-01-19 21:16:53
Jonko;0.05;Finland;1;2012-05-12 11:21:53
Jonko;0.10;Finland;1;2013-01-04 10:32:47
Jonko;0.20;Finland;1;2011-05-17 11:14:26
Jonko;0.50;Finland;1;2012-06-18 10:43:04
Jonko;1.00;Finland;1;2011-06-13 15:59:47
Jonko;2.00;Finland;1;2011-06-25 13:51:55
Jonko;0.01;Finland;2;2011-04-18 17:41:38
Jonko;0.02;Finland;2;2011-04-18 17:41:43
Jonko;0.05;Finland;2;2011-04-18 17:41:47
Jonko;0.10;Finland;2;2011-04-18 17:41:52
Jonko;0.20;Finland;2;2011-04-18 17:41:59
Jonko;0.50;Finland;2;2011-04-18 17:42:03
Jonko;1.00;Finland;2;2011-04-18 17:42:07
Jonko;2.00;Finland;2;2011-04-18 17:42:11
Jonko;0.01;France;1;2010-10-21 00:00:01
Jonko;0.02;France;1;2010-10-21 00:00:01
Jonko;0.05;France;1;2010-10-21 00:00:01
Jonko;0.10;France;1;2010-10-21 00:00:01
Jonko;0.20;France;1;2010-10-21 00:00:01
Jonko;0.50;France;1;2010-10-25 23:49:36
Jonko;1.00;France;1;2010-11-10 11:02:21
Jonko;2.00;France;1;2010-10-21 00:00:01
Jonko;0.01;Germany;1;2010-10-25 00:03:26
Jonko;0.02;Germany;1;2010-11-01 11:13:11
Jonko;0.05;Germany;1;2010-10-25 00:04:13
Jonko;0.10;Germany;1;2010-10-21 00:00:01
Jonko;0.20;Germany;1;2010-10-21 00:00:01
Jonko;0.50;Germany;1;2010-10-21 00:00:01
Jonko;1.00;Germany;1;2010-10-22 23:17:06
Jonko;2.00;Germany;1;2010-10-21 00:00:01
Jonko;0.01;Greece;1;2010-10-21 00:00:01
Jonko;0.02;Greece;1;2010-10-25 09:49:21
Jonko;0.05;Greece;1;2010-10-21 00:00:01
Jonko;0.10;Greece;1;2010-10-21 00:00:01
